CLAF,PRID,Drain,Layer,TopDep,BotDep,CFRAG,SDTO,STPC,CLPC,PSCL,BULK,TAWK,TAWC,CECS,BSAT,CECc,PHAQ,TCEQ,GYPS,ELCO,TOTC,TOTN,CNrt,ECEC,ALSA,ESP
Cl,WD-Cl,M,D2,20,40,4,32,36,32,M,1.340000033,,10,22.07999992,100,58,7.070000172,46,1,0.25,9.770000458,1.649999976,10.23999977,29,0,1
Cl,WD-Cl,M,D3,40,60,5,30,37,33,M,1.360000014,,10,20.23999977,100,61,7.349999905,87.69999695,1,0.379999995,6.769999981,1.110000014,9.800000191,22.70000076,0,1
Cl,WD-Cl,M,D4,60,80,9,29,36,35,F,1.409999967,,12,18.39999962,100,58.5,7.789999962,93.52999878,1,0.349999994,5,0.790000021,8,21.52000046,0,2
Cl,WD-Cl,M,D5,80,100,12,28,36,36,F,1.450000048,,11,17.29999924,100,52.38000107,8,80,1,0.319999993,3.900000095,0.600000024,7,23.79999924,0,2
D,WD-D,M,D1,0,20,1,50,41,9,M,1.379999995,,15,7.599999905,68,49.5,5.099999905,0,0,0,11.64999962,1,11.53999996,14,6,4
D,WD-D,M,D2,20,40,1,52,38,10,M,1.50999999,,13,5.429999828,57,52.5,5.179999828,0,0,0,3.650000095,0.400000006,10.43999958,11,8,6
D,WD-D,M,D3,40,60,4,52,34,14,M,1.610000014,,9,6.75,72,52,5.199999809,0,0,0,2,0.200000003,10,10,14,4
D,WD-D,M,D4,60,80,4,52,33,15,M,1.639999986,,11,7.699999809,82,52,5.300000191,0,0,0,1.720000029,0.170000002,10,10.5,16,3
D,WD-D,M,D5,80,100,4,53,32,15,M,1.669999957,,11,7.920000076,77,52,5.400000095,0,0,0,1,0.100000001,10,6,15,4
Dd,WD-Dd,M,D1,0,20,1,42,47,11,M,1.25,,15,23.70000076,68,82.56999969,5.03000021,0,0,0,22.39999962,2.940000057,10.28999996,14,6,4
Dd,WD-Dd,M,D2,20,40,1,35,47,18,M,1.50999999,,13,11.94999981,57,68.80000305,5.179999828,0,0,0,3.579999924,0.600000024,7,11,8,6
Dd,WD-Dd,M,D3,40,60,4,34,45,21,M,1.669999957,,9,11.11999989,45,65,5,0,0,0,2,0.469999999,7,10,15,4
Dd,WD-Dd,M,D4,60,80,4,30,47,23,M,1.730000019,,11,10.39999962,82,63.5,5.150000095,0,0,0,2,0.25,8.329999924,10.5,16,3
Dd,WD-Dd,M,D5,80,100,4,27,50,23,M,1.700000048,,11,12.14999962,77,52,5.150000095,0,0,0,1.159999967,0.100000001,10,6,15,4
De,WD-De,W,D1,0,20,1,53,40,7,M,1.379999995,,15,6.400000095,70,51,5.199999809,0,0,0,11,0.899999976,11.57999992,14,6,4
De,WD-De,W,D2,20,40,1,57,35,8,M,1.519999981,,13,4.849999905,53,51.61999893,5.179999828,0,0,0,4,0.400000006,10.52999973,11,8,6
De,WD-De,W,D3,40,60,4,58,31,11,M,1.610000014,,9,4.900000095,64,51,5.21999979,0,0,0,2,0.200000003,10,10,14,4
De,WD-De,W,D4,60,80,4,58,29,13,M,1.659999967,,11,6.400000095,78,52,5.300000191,0,0,0,1.860000014,0.100000001,10,10.5,16,3
De,WD-De,W,D5,80,100,4,60,27,13,M,1.669999957,,11,6.699999809,77,52,5.5,0,0,0,1,0.100000001,10,6,15,4
Dg,WD-Dg,I,D1,0,20,1,42,45,13,M,1.340000033,,15,14.36999989,45,41.5,4.900000095,0,0,0,13.38000011,1.159999967,11.01000023,14,15,4
Dg,WD-Dg,I,D2,20,40,1,41,44,15,M,1.419999957,,13,10.71000004,57,57,5.179999828,0,0,0,4,0.899999976,10,11,8,6
Dg,WD-Dg,I,D3,40,60,1,37,43,20,M,1.549999952,,9,9.319999695,72,42.5,5.239999771,0,0,0,1.799999952,0.400000006,8.109999657,10,14,4
Dg,WD-Dg,I,D4,60,80,1,37,42,21,M,1.570000052,,11,11.75,82,40,5.28000021,0,0,0,1,0.300000012,7.5,10.5,16,3
Dg,WD-Dg,I,D5,80,100,1,37,42,21,M,1.610000014,,11,12.14999962,77,52,5.150000095,0,0,0,1,0.100000001,8.75,6,15,4
Qc,WD-DS,E,D1,0,20,4,98,1,1,C,1.5,,3,3.200000048,95,46.84999847,6.300000191,0,0,0,2,0.100000001,10.28999996,4,0,6
Qc,WD-DS,E,D2,20,40,4,98,1,1,C,1.50999999,,3,2.700000048,99,47.90999985,6.230000019,0,0,0,2,0.100000001,9.640000343,4,0,5
Qc,WD-DS,E,D3,40,60,4,98,1,1,C,1.519999981,,3,2.5,100,43,6.300000191,0,0,0,2,0.100000001,9.409999847,3,0,5
